DTXSID,CASRN,PREFERRED NAME,MOLECULAR_FORMULA,MONOISOTOPIC MASS,AVERAGE_MASS,SMILES,ToxCast Active,ToxCast Total,% ToxCast Active,HIT CALL
DTXSID0020365,59865-13-3,Cyclosporin A,C62H111N11O12,1201.841368,1202.635,[H][C@@]1([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C,166,472,35,Inactive
DTXSID0020361,4998-76-9,Cyclohexylamine hydrochloride,C6H14ClN,135.081477,135.64,[Cl-].[NH3+]C1CCCCC1,3,316,1,Inactive
DTXSID0020319,1897-45-6,Chlorothalonil,C8Cl4N2,263.881559,265.9,ClC1=C(Cl)C(C#N)=C(Cl)C(C#N)=C1Cl,341,737,46,Inactive
DTXSID0020494,756-79-6,Dimethyl methylphosphonate,C3H9O3P,124.028931,124.076,COP(C)(=O)OC,2,356,1,Inactive
DTXSID0020446,330-54-1,Diuron,C9H10Cl2N2O,232.017018,233.09,CN(C)C(=O)NC1=CC(Cl)=C(Cl)C=C1,86,701,12,Inactive
DTXSID0020282,5131-60-2,"4-Chloro-1,3-diaminobenzene",C6H7ClN2,142.029776,142.59,NC1=CC(N)=C(Cl)C=C1,10,318,3,Inactive
DTXSID0020284,61702-44-1,"2-Chloro-1,4-diaminobenzene sulfate (1:1)",C6H9ClN2O4S,239.997156,240.66,OS(O)(=O)=O.NC1=CC=C(N)C(Cl)=C1,183,438,42,Active
DTXSID0020442,94-75-7,"2,4-Dichlorophenoxyacetic acid",C8H6Cl2O3,219.9694,221.03,OC(=O)COC1=C(Cl)C=C(Cl)C=C1,25,666,4,Inactive
DTXSID0020440,120-36-5,Dichlorprop,C9H8Cl2O3,233.98505,235.06,CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O,10,654,2,Inactive
DTXSID0020498,120-61-6,Dimethyl terephthalate,C10H10O4,194.057909,194.186,COC(=O)C1=CC=C(C=C1)C(=O)OC,25,570,4,Inactive
DTXSID0020523,51-28-5,"2,4-Dinitrophenol",C6H4N2O5,184.012021,184.107,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,129,572,23,Inactive
DTXSID0020529,121-14-2,"2,4-Dinitrotoluene",C7H6N2O4,182.032757,182.135,CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,21,601,3,Inactive
DTXSID0020604,106-87-6,4-Vinyl-1-cyclohexene diepoxide,C8H12O2,140.08373,140.182,C1OC1C1CCC2OC2C1,10,579,2,Inactive
DTXSID0020573,50-28-2,17beta-Estradiol,C18H24O2,272.17763,272.388,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],188,657,29,Active
DTXSID0020575,140-67-0,Estragole,C10H12O,148.088815,148.205,COC1=CC=C(CC=C)C=C1,3,345,1,Inactive
DTXSID0020577,536-33-4,Ethionamide,C8H10N2S,166.05647,166.24,CCC1=NC=CC(=C1)C(N)=S,3,321,1,Inactive
DTXSID0020606,103-23-1,Bis(2-ethylhexyl)hexanedioate,C22H42O4,370.30831,370.574,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,6,582,1,Inactive
DTXSID0020652,25812-30-0,Gemfibrozil,C15H22O3,250.156895,250.338,CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1,18,379,5,Inactive
DTXSID0020654,105-87-3,Geranyl acetate,C12H20O2,196.14633,196.29,CC(C)=CCC\C(C)=C\COC(C)=O,7,584,1,Inactive
DTXSID0020656,77-06-5,Gibberellic acid,C19H22O6,346.141638,346.379,[H][C@@]12CC[C@]3(O)C[C@]1(CC3=C)[C@@H](C(O)=O)[C@]1([H])[C@@]3(C)[C@@H](O)C=C[C@@]21OC3=O,1,345,0,Inactive
DTXSID0020737,120-72-9,Indole,C8H7N,117.057849,117.151,N1C=CC2=C1C=CC=C2,5,354,1,Inactive
DTXSID0020814,72-33-3,Mestranol,C21H26O2,310.19328,310.437,COC1=CC2=C(C=C1)[C@H]1CC[C@@]3(C)[C@@H](CC[C@@]3(O)C#C)[C@@H]1CC2,131,527,25,Inactive
DTXSID0021040,932-83-2,N-Nitrosohexamethyleneimine,C6H12N2O,128.094963,128.175,O=NN1CCCCCC1,2,319,1,Inactive
DTXSID0020941,7632-00-0,Sodium nitrite,NNaO2,68.982673,68.995,[Na+].[O-]N=O,1,575,0,Inactive
DTXSID0020943,99-59-2,5-Nitro-o-anisidine,C7H8N2O3,168.053492,168.152,COC1=C(N)C=C(C=C1)[N+]([O-])=O,21,601,3,Inactive
DTXSID0021094,101-80-4,"4,4'-Oxydianiline",C12H12N2O,200.094963,200.241,NC1=CC=C(OC2=CC=C(N)C=C2)C=C1,44,614,7,Inactive
DTXSID0021125,77-09-8,Phenolphthalein,C20H14O4,318.089209,318.328,OC1=CC=C(C=C1)C1(OC(=O)C2=C1C=CC=C2)C1=CC=C(O)C=C1,208,659,32,Inactive
DTXSID0021121,834-28-6,Phenformin hydrochloride,C10H16ClN5,241.109423,241.72,Cl.NC(=N)NC(=N)NCCC1=CC=CC=C1,26,321,8,Inactive
DTXSID0021123,57-30-7,Phenobarbital sodium,C12H11N2NaO3,254.066736,254.221,[Na+].CCC1(C(=O)NC([O-])=NC1=O)C1=CC=CC=C1,14,663,2,Inactive
DTXSID0021206,57-55-6,"1,2-Propylene glycol",C3H8O2,76.052429,76.095,CC(O)CO,5,605,1,Inactive
DTXSID0021254,94-59-7,Safrole,C10H10O2,162.06808,162.188,C=CCC1=CC=C2OCOC2=C1,8,591,1,Inactive
DTXSID0021256,599-79-1,Sulfasalazine,C18H14N4O5S,398.068491,398.39,OC(=O)C1=CC(=CC=C1O)N=NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CC=C1,45,660,7,Inactive
DTXSID0021337,148-79-8,Thiabendazole,C10H7N3S,201.036068,201.25,N1C2=C(C=CC=C2)N=C1C1=CSC=N1,63,677,9,Inactive
DTXSID0021331,55566-30-8,Tetrakis(hydroxymethyl)phosphonium sulfate,C8H24O12P2S,406.046371,406.28,[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO.OC[P+](CO)(CO)CO,38,331,11,Inactive
DTXSID0021385,133-07-3,Folpet,C9H4Cl3NO2S,294.902833,296.55,ClC(Cl)(Cl)SN1C(=O)C2=C(C=CC=C2)C1=O,177,700,25,Inactive
DTXSID0021389,52-68-6,Trichlorfon,C4H8Cl3O4P,255.922579,257.43,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,87,701,12,Active
DTXSID0021333,97-74-5,Tetramethylthiuram monosulfide,C6H12N2S3,208.016262,208.36,CN(C)C(=S)SC(=S)N(C)C,160,456,35,Inactive
DTXSID0021339,52-24-4,Thiotepa,C6H12N3PS,189.048956,189.22,S=P(N1CC1)(N1CC1)N1CC1,25,440,6,Inactive
DTXSID0021597,111-71-7,Heptanal,C7H14O,114.104465,114.188,CCCCCCC=O,9,458,2,Inactive
DTXSID0021460,17924-92-4,Zearalenone,C18H22O5,318.146724,318.369,C[C@H]1CCCC(=O)CCC\C=C\C2=C(C(O)=CC(O)=C2)C(=O)O1,150,416,36,Inactive
DTXSID0021414,78-42-2,Tris(2-ethylhexyl) phosphate,C24H51O4P,434.352497,434.642,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,65,628,10,Inactive
DTXSID0021464,137-30-4,Ziram,C6H12N2S4Zn,303.917475,305.8,[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,368,632,58,Inactive
DTXSID0021757,78-27-3,1-Ethynylcyclohexanol,C8H12O,124.088815,124.183,OC1(CCCCC1)C#C,5,318,2,Inactive
DTXSID0021543,111-85-3,1-Chlorooctane,C8H17Cl,148.101878,148.67,CCCCCCCCCl,9,325,3,Inactive
DTXSID0021626,536-60-7,4-Isopropylbenzyl alcohol,C10H14O,150.104465,150.221,CC(C)C1=CC=C(CO)C=C1,6,431,1,Inactive
DTXSID0021628,78-98-8,Methyl glyoxal,C3H4O2,72.021129,72.063,CC(=O)C=O,0,195,0,Inactive
DTXSID0021759,78-83-1,2-Methyl-1-propanol,C4H10O,74.073165,74.123,CC(C)CO,1,327,0,Inactive
DTXSID0021888,107-87-9,2-Pentanone,C5H10O,86.073165,86.134,CCCC(C)=O,3,349,1,Inactive
DTXSID0021915,110-40-7,Diethyl decanedioate,C14H26O4,258.183109,258.358,CCOC(=O)CCCCCCCCC(=O)OCC,4,427,1,Inactive
DTXSID0021834,100-02-7,4-Nitrophenol,C6H5NO3,139.026943,139.11,OC1=CC=C(C=C1)[N+]([O-])=O,39,599,7,Inactive
DTXSID0021836,100-25-4,"1,4-Dinitrobenzene",C6H4N2O4,168.017107,168.108,[O-][N+](=O)C1=CC=C(C=C1)[N+]([O-])=O,85,313,27,Inactive
DTXSID0021832,99-97-8,"N,N,4-Trimethylaniline",C9H13N,135.104799,135.21,CN(C)C1=CC=C(C)C=C1,11,577,2,Inactive
DTXSID0021965,120-82-1,"1,2,4-Trichlorobenzene",C6H3Cl3,179.930033,181.44,ClC1=CC(Cl)=C(Cl)C=C1,26,616,4,Inactive
DTXSID0021961,119-61-9,Benzophenone,C13H10O,182.073165,182.222,O=C(C1=CC=CC=C1)C1=CC=CC=C1,21,590,4,Active
DTXSID0021963,120-21-8,4-(Diethylamino)benzaldehyde,C11H15NO,177.115364,177.247,CCN(CC)C1=CC=C(C=O)C=C1,21,321,7,Inactive
DTXSID0021969,121-33-5,4-Hydroxy-3-methoxybenzaldehyde,C8H8O3,152.047344,152.149,COC1=C(O)C=CC(C=O)=C1,20,590,3,Inactive
DTXSID0022193,2495-37-6,Benzyl methacrylate,C11H12O2,176.08373,176.215,CC(=C)C(=O)OCC1=CC=CC=C1,3,316,1,Inactive
DTXSID0022012,150-19-6,3-Methoxyphenol,C7H8O2,124.052429,124.139,COC1=CC=CC(O)=C1,2,316,1,Inactive
DTXSID0022301,70124-77-5,Flucythrinate,C26H23F2NO4,451.159515,451.47,CC(C)C(C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1)C1=CC=C(OC(F)F)C=C1,23,321,7,Inactive
DTXSID0022353,92-04-6,"3-Chloro[1,1?-biphenyl]-4-ol",C12H9ClO,204.034193,204.65,OC1=C(Cl)C=C(C=C1)C1=CC=CC=C1,106,402,26,Inactive
DTXSID0022305,1746-23-2,4-tert-Butylstyrene,C12H16,160.125201,160.26,CC(C)(C)C1=CC=C(C=C)C=C1,3,316,1,Inactive
DTXSID0022014,150-78-7,Hydroquinone dimethyl ether,C8H10O2,138.06808,138.166,COC1=CC=C(OC)C=C1,0,345,0,Inactive
DTXSID0022016,280-57-9,"1,4-Diazabicyclo[2.2.2]octane",C6H12N2,112.100048,112.176,C1CN2CCN1CC2,15,321,5,Inactive
DTXSID0022062,563-80-4,3-Methyl-2-butanone,C5H10O,86.073165,86.134,CC(C)C(C)=O,0,319,0,Inactive
DTXSID0022191,2455-24-5,Tetrahydrofurfuryl methacrylate,C9H14O3,170.094294,170.208,CC(=C)C(=O)OCC1CCCO1,0,320,0,Inactive
DTXSID0022018,298-04-4,Disulfoton,C8H19O2PS3,274.02848,274.39,CCOP(=S)(OCC)SCCSCC,51,731,7,Inactive
DTXSID00223797,73609-36-6,Dichloromethyl((perfluorohexyl)ethyl)silane,C9H7Cl2F13Si,459.948648,461.12,C[Si](Cl)(Cl)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,14,231,6,Inactive
DTXSID0022563,54965-21-8,Albendazole,C12H15N3O2S,265.088498,265.33,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,50,319,16,Inactive
DTXSID0022480,620-17-7,3-Ethylphenol,C8H10O,122.073165,122.167,CCC1=CC=CC(O)=C1,5,351,1,Inactive
DTXSID0022436,126-00-1,"4,4-Bis(4-hydroxyphenyl)valeric acid",C17H18O4,286.120509,286.327,CC(CCC(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,28,507,6,Inactive
DTXSID0022519,59-30-3,Folic acid,C19H19N7O6,441.139681,441.404,NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2,17,615,3,Inactive
DTXSID0022777,169590-42-5,Celecoxib,C17H14F3N3O2S,381.075882,381.37,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,254,635,40,Inactive
DTXSID0022933,71-63-6,Digitoxin,C41H64O13,764.434692,764.95,[H][C@@]1(C[C@H](O)[C@H](O[C@@]2([H])C[C@H](O)[C@H](O[C@@]3([H])C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@]([H])(CC[C@]3([H])[C@]2([H])CC[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,100,325,31,Inactive
DTXSID0023113,90-05-1,2-Methoxyphenol,C7H8O2,124.052429,124.139,COC1=C(O)C=CC=C1,2,353,1,Inactive
DTXSID0023244,6284-40-8,"(2R,3R,4R,5S)-6-(Methylamino)hexane-1,2,3,4,5-pentol",C7H17NO5,195.110673,195.215,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,5,316,2,Inactive
DTXSID0023296,61-73-4,Methylene blue,C16H18ClN3S,319.090997,319.85,[Cl-].CN(C)C1=CC2=[S+]C3=C(C=CC(=C3)N(C)C)N=C2C=C1,162,375,43,Inactive
DTXSID0023371,63675-72-9,Nisoldipine,C20H24N2O6,388.163437,388.42,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,115,322,36,Inactive
DTXSID0023745,58-86-6,D-Xylose,C5H10O5,150.052823,150.13,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,3,468,1,Inactive
DTXSID0023377,24526-64-5,Nomifensine,C16H18N2,238.146999,238.334,CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1,11,319,3,Inactive
DTXSID0023581,79902-63-9,Simvastatin,C25H38O5,418.271924,418.574,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,219,667,33,Inactive
DTXSID0023747,7481-89-2,"2',3'-Dideoxycytidine",C9H13N3O3,211.095691,211.221,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,3,318,1,Inactive
DTXSID0023826,4098-71-9,Isophorone diisocyanate,C12H18N2O2,222.136828,222.288,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,19,612,3,Inactive
DTXSID0023878,120-12-7,Anthracene,C14H10,178.07825,178.234,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,38,651,6,Inactive
DTXSID0023901,25057-89-0,Bentazone,C10H12N2O3S,240.056863,240.28,CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2,16,658,2,Inactive
DTXSID0023907,205-99-2,Benzo(b)fluoranthene,C20H12,252.0939,252.316,C1=CC=C2C(=C1)C1=CC=CC3=C4C=CC=CC4=CC2=C13,160,624,26,Inactive
DTXSID0023951,5234-68-4,Carboxin,C12H13NO2S,235.0667,235.3,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,69,667,10,Inactive
DTXSID0023955,90982-32-4,Chlorimuron-ethyl,C15H15ClN4O6S,414.040083,414.82,CCOC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC1=NC(OC)=CC(Cl)=N1,8,197,4,Inactive
DTXSID0024052,55290-64-7,Dimethipin,C6H10O4S2,210.002051,210.26,CC1=C(C)S(=O)(=O)CCS1(=O)=O,94,608,15,Active
DTXSID0024183,96-33-3,Methyl acrylate,C4H6O2,86.036779,86.09,COC(=O)C=C,0,319,0,Inactive
DTXSID0024000,1861-32-1,Chlorthal-dimethyl,C10H6Cl4O4,329.902019,331.95,COC(=O)C1=C(Cl)C(Cl)=C(C(=O)OC)C(Cl)=C1Cl,28,592,5,Inactive
DTXSID0024266,29232-93-7,Pirimiphos-methyl,C11H20N3O3PS,305.0963,305.33,CCN(CC)C1=NC(OP(=S)(OC)OC)=CC(C)=N1,138,716,19,Inactive
DTXSID0024002,39515-41-8,Fenpropathrin,C22H23NO3,349.167794,349.43,CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,115,677,17,Inactive
DTXSID0024216,1929-82-4,Nitrapyrin,C6H3Cl4N,228.90196,230.9,ClC1=CC=CC(=N1)C(Cl)(Cl)Cl,20,638,3,Inactive
DTXSID0024345,82097-50-5,Triasulfuron,C14H16ClN5O5S,401.056067,401.82,COC1=NC(C)=NC(NC(=O)NS(=O)(=O)C2=C(OCCCl)C=CC=C2)=N1,12,501,2,Inactive
DTXSID0024397,102-01-2,Acetoacetanilide,C10H11NO2,177.078979,177.203,CC(=O)CC(=O)NC1=CC=CC=C1,5,323,2,Inactive
DTXSID0024399,513-86-0,Acetoin,C4H8O2,88.052429,88.106,CC(O)C(C)=O,1,320,0,Inactive
DTXSID0024553,123-77-3,Azodicarbonamide,C2H4N4O2,116.033425,116.08,NC(=O)N=NC(N)=O,5,348,1,Inactive
DTXSID0024761,108-42-9,3-Chloroaniline,C6H6ClN,127.018877,127.57,NC1=CC(Cl)=CC=C1,7,321,2,Inactive
DTXSID0025361,106-91-2,Glycidyl methacrylate,C7H10O3,142.062994,142.154,CC(=C)C(=O)OCC1CO1,2,319,1,Inactive
DTXSID0025363,79-14-1,Glycolic acid,C2H4O3,76.016044,76.051,OCC(O)=O,3,347,1,Inactive
DTXSID0025101,99-07-0,3-Dimethylaminophenol,C8H11NO,137.084064,137.182,CN(C)C1=CC=CC(O)=C1,35,351,10,Inactive
DTXSID0025234,17372-87-1,Eosin,C20H6Br4Na2O5,687.674414,691.859,[Na+].[Na+].[O-]C1=C(Br)C2=C(C=C1Br)C1(OC(=O)C3=C1C=CC=C3)C1=CC(Br)=C([O-])C(Br)=C1O2,91,360,25,Inactive
DTXSID0024890,1197-01-9,p-Cymen-8-ol,C10H14O,150.104465,150.221,CC1=CC=C(C=C1)C(C)(C)O,3,328,1,Inactive
DTXSID0025492,112-52-7,1-Chlorododecane,C12H25Cl,204.164479,204.78,CCCCCCCCCCCCCl,18,316,6,Inactive
DTXSID0025523,118-71-8,Maltol,C6H6O3,126.031694,126.111,CC1=C(O)C(=O)C=CO1,9,608,1,Inactive
DTXSID0025737,121-92-6,3-Nitrobenzoic acid,C7H5NO4,167.021858,167.12,OC(=O)C1=CC=CC(=C1)[N+]([O-])=O,0,321,0,Inactive
DTXSID0025527,71-58-9,Medroxyprogesterone acetate,C24H34O4,386.24571,386.532,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,70,455,15,Active
DTXSID0025812,500-66-3,Olivetol,C11H16O2,180.11503,180.247,CCCCCC1=CC(O)=CC(O)=C1,66,319,21,Inactive
DTXSID0025789,102-96-5,beta-Nitrostyrene,C8H7NO2,149.047678,149.149,[O-][N+](=O)C=CC1=CC=CC=C1,224,432,52,Active
DTXSID0025571,608-25-3,"2-Methyl-1,3-benzenediol",C7H8O2,124.052429,124.139,CC1=C(O)C=CC=C1O,8,430,2,Inactive
DTXSID0025816,144-62-7,Oxalic acid,C2H2O4,89.995309,90.034,OC(=O)C(O)=O,5,349,1,Inactive
DTXSID0025864,156-43-4,4-Ethoxyaniline,C8H11NO,137.084064,137.182,CCOC1=CC=C(N)C=C1,18,358,5,Inactive
DTXSID0026171,29385-43-1,Tolyltriazole,C7H7N3,133.063997,133.154,"C*.N1N=NC2=CC=CC=C12 |c:2,6,t:4,8,lp:2:1,3:1,4:1,m:1:6.7|",12,355,3,Inactive
DTXSID0026098,117-18-0,"2,3,5,6-Tetrachloronitrobenzene",C6HCl4NO2,258.876139,260.88,[O-][N+](=O)C1=C(Cl)C(Cl)=CC(Cl)=C1Cl,9,321,3,Inactive
DTXSID0025991,104-91-6,4-Nitrosophenol,C6H5NO2,123.032028,123.111,OC1=CC=C(C=C1)N=O,28,430,7,Inactive
DTXSID0026838,110-27-0,Isopropyl tetradecanoate,C17H34O2,270.25588,270.457,CCCCCCCCCCCCCC(=O)OC(C)C,1,359,0,Inactive
DTXSID0026880,111-55-7,"1,2-Ethanediol diacetate",C6H10O4,146.057909,146.142,CC(=O)OCCOC(C)=O,4,355,1,Inactive
DTXSID0026258,140-08-9,Tris(2-chloroethyl) phosphite,C6H12Cl3O3P,267.958964,269.48,ClCCOP(OCCCl)OCCCl,1,347,0,Inactive
DTXSID0026915,112-42-5,1-Undecanol,C11H24O,172.182715,172.312,CCCCCCCCCCCO,57,593,10,Inactive
DTXSID0026252,101-02-0,Triphenyl phosphite,C18H15O3P,310.075881,310.289,O(P(OC1=CC=CC=C1)OC1=CC=CC=C1)C1=CC=CC=C1,12,620,2,Inactive
DTXSID0027014,123-96-6,2-Octanol,C8H18O,130.135765,130.231,CCCCCCC(C)O,5,362,1,Inactive
DTXSID0026913,112-40-3,Dodecane,C12H26,170.203451,170.34,CCCCCCCCCCCC,3,324,1,Inactive
DTXSID0027191,542-92-7,"1,3-Cyclopentadiene",C5H6,66.04695,66.103,C1C=CC=C1,0,349,0,Inactive
DTXSID0027195,544-76-3,Hexadecane,C16H34,226.266051,226.448,CCCCCCCCCCCCCCCC,2,569,0,Inactive
DTXSID0026967,120-55-8,Diethylene glycol dibenzoate,C18H18O5,314.115424,314.337,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,21,601,3,Inactive
DTXSID0027222,586-62-9,Terpinolene,C10H16,136.125201,136.238,CC(C)=C1CCC(C)=CC1,7,352,2,Inactive
DTXSID0027270,629-76-5,1-Pentadecanol,C15H32O,228.245316,228.42,CCCCCCCCCCCCCCCO,57,585,10,Inactive
DTXSID0027438,1809-19-4,Dibutyl phosphite,C8H19O3P,194.107181,194.211,CCCCOP(=O)OCCCC,0,323,0,Inactive
DTXSID0027432,1738-25-6,3-Dimethylaminopropionitrile,C5H10N2,98.084398,98.149,CN(C)CCC#N,1,322,0,Inactive
DTXSID0027301,694-83-7,"1,2-Cyclohexanediamine",C6H14N2,114.115698,114.192,NC1CCCCC1N,2,318,1,Inactive
DTXSID0027561,4131-74-2,"Dimethyl 3,3'-thiodipropionate",C8H14O4S,206.06128,206.26,COC(=O)CCSCCC(=O)OC,1,316,0,Inactive
DTXSID0027640,6915-15-7,Malic acid,C4H6O5,134.021523,134.087,OC(CC(O)=O)C(O)=O,6,615,1,Inactive
DTXSID0027721,10081-67-1,4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,C30H31N,405.24565,405.585,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,43,362,12,Inactive
DTXSID0027771,15233-47-3,"N-(1-Methylheptyl)-N'-phenyl-1,4-benzenediamine",C20H28N2,296.225249,296.458,CCCCCCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,92,319,29,Inactive
DTXSID0027773,15625-89-5,Trimethylolpropane triacrylate,C15H20O6,296.125988,296.319,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,250,433,58,Inactive
DTXSID0028038,55406-53-6,3-Iodo-2-propynyl-N-butylcarbamate,C8H12INO2,280.99127,281.093,CCCCNC(=O)OCC#CI,317,790,40,Inactive
DTXSID0027806,19525-59-8,Potassium anilinoacetate,C8H8KNO2,189.01921,189.255,[K+].[O-]C(=O)CNC1=CC=CC=C1,2,316,1,Inactive
DTXSID0027981,33509-43-2,"4-Amino-6-tert-butyl-3-thioxo-3,4-dihydro-1,2,4-triazin-5(2H)-one",C7H12N4OS,200.073182,200.26,CC(C)(C)C1=NNC(=S)N(N)C1=O,3,316,1,Inactive
DTXSID0027983,34590-94-8,Dipropylene glycol monomethyl ether,C7H16O3,148.109944,148.202,"C*.C*.COCCOCCO |lp:5:2,8:2,11:2,m:1:6.7,3:9.10|",12,621,2,Inactive
