DTXSID,CASRN,PREFERRED.NAME,MOLECULAR_FORMULA,MONOISOTOPIC.MASS,AVERAGE_MASS,SMILES,ToxCast.Active,ToxCast.Total,X..ToxCast.Active,HIT.CALL,C,H,N,O,S
DTXSID0022563,54965-21-8,Albendazole,C12H15N3O2S,265.088498,265.33,CCCSC1=CC=C2NC(NC(=O)OC)=NC2=C1,50,319,16,Inactive,12,15,3,2,1
DTXSID0022480,620-17-7,3-Ethylphenol,C8H10O,122.073165,122.167,CCC1=CC=CC(O)=C1,5,351,1,Inactive,8,10,0,1,0
DTXSID0022436,126-00-1,"4,4-Bis(4-hydroxyphenyl)valeric acid",C17H18O4,286.120509,286.327,CC(CCC(O)=O)(C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,28,507,6,Inactive,17,18,0,4,0
DTXSID0022519,59-30-3,Folic acid,C19H19N7O6,441.139681,441.404,NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2,17,615,3,Inactive,19,19,7,6,0
DTXSID0022933,71-63-6,Digitoxin,C41H64O13,764.434692,764.95,[H][C@@]1(C[C@H](O)[C@H](O[C@@]2([H])C[C@H](O)[C@H](O[C@@]3([H])C[C@H](O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@]([H])(CC[C@]3([H])[C@]2([H])CC[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,100,325,31,Inactive,41,64,0,13,0
DTXSID0023113,90-05-1,2-Methoxyphenol,C7H8O2,124.052429,124.139,COC1=C(O)C=CC=C1,2,353,1,Inactive,7,8,0,2,0
DTXSID0023244,6284-40-8,"(2R,3R,4R,5S)-6-(Methylamino)hexane-1,2,3,4,5-pentol",C7H17NO5,195.110673,195.215,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,5,316,2,Inactive,7,17,1,5,0
DTXSID0023371,63675-72-9,Nisoldipine,C20H24N2O6,388.163437,388.42,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,115,322,36,Inactive,20,24,2,6,0
DTXSID0023745,58-86-6,D-Xylose,C5H10O5,150.052823,150.13,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,3,468,1,Inactive,5,10,0,5,0
DTXSID0023377,24526-64-5,Nomifensine,C16H18N2,238.146999,238.334,CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1,11,319,3,Inactive,16,18,2,0,0
DTXSID0023581,79902-63-9,Simvastatin,C25H38O5,418.271924,418.574,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,219,667,33,Inactive,25,38,0,5,0
DTXSID0023747,7481-89-2,"2',3'-Dideoxycytidine",C9H13N3O3,211.095691,211.221,NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1,3,318,1,Inactive,9,13,3,3,0
DTXSID0023826,4098-71-9,Isophorone diisocyanate,C12H18N2O2,222.136828,222.288,CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,19,612,3,Inactive,12,18,2,2,0
DTXSID0023878,120-12-7,Anthracene,C14H10,178.07825,178.234,C1=CC2=CC3=C(C=CC=C3)C=C2C=C1,38,651,6,Inactive,14,10,0,0,0
DTXSID0023901,25057-89-0,Bentazone,C10H12N2O3S,240.056863,240.28,CC(C)N1C(=O)C2=C(NS1(=O)=O)C=CC=C2,16,658,2,Inactive,10,12,2,3,1
DTXSID0023907,205-99-2,Benzo(b)fluoranthene,C20H12,252.0939,252.316,C1=CC=C2C(=C1)C1=CC=CC3=C4C=CC=CC4=CC2=C13,160,624,26,Inactive,20,12,0,0,0
DTXSID0023951,5234-68-4,Carboxin,C12H13NO2S,235.0667,235.3,CC1=C(SCCO1)C(=O)NC1=CC=CC=C1,69,667,10,Inactive,12,13,1,2,1
DTXSID0024052,55290-64-7,Dimethipin,C6H10O4S2,210.002051,210.26,CC1=C(C)S(=O)(=O)CCS1(=O)=O,94,608,15,Active,6,10,0,4,2
DTXSID0024183,96-33-3,Methyl acrylate,C4H6O2,86.036779,86.09,COC(=O)C=C,0,319,0,Inactive,4,6,0,2,0
DTXSID0024002,39515-41-8,Fenpropathrin,C22H23NO3,349.167794,349.43,CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,115,677,17,Inactive,22,23,1,3,0
DTXSID0024397,102-01-2,Acetoacetanilide,C10H11NO2,177.078979,177.203,CC(=O)CC(=O)NC1=CC=CC=C1,5,323,2,Inactive,10,11,1,2,0
DTXSID0024399,513-86-0,Acetoin,C4H8O2,88.052429,88.106,CC(O)C(C)=O,1,320,0,Inactive,4,8,0,2,0
DTXSID0024553,123-77-3,Azodicarbonamide,C2H4N4O2,116.033425,116.08,NC(=O)N=NC(N)=O,5,348,1,Inactive,2,4,4,2,0
DTXSID0025361,106-91-2,Glycidyl methacrylate,C7H10O3,142.062994,142.154,CC(=C)C(=O)OCC1CO1,2,319,1,Inactive,7,10,0,3,0
DTXSID0025363,79-14-1,Glycolic acid,C2H4O3,76.016044,76.051,OCC(O)=O,3,347,1,Inactive,2,4,0,3,0
DTXSID0025101,99-07-0,3-Dimethylaminophenol,C8H11NO,137.084064,137.182,CN(C)C1=CC=CC(O)=C1,35,351,10,Inactive,8,11,1,1,0
DTXSID0024890,1197-01-9,p-Cymen-8-ol,C10H14O,150.104465,150.221,CC1=CC=C(C=C1)C(C)(C)O,3,328,1,Inactive,10,14,0,1,0
DTXSID0025523,118-71-8,Maltol,C6H6O3,126.031694,126.111,CC1=C(O)C(=O)C=CO1,9,608,1,Inactive,6,6,0,3,0
DTXSID0025737,121-92-6,3-Nitrobenzoic acid,C7H5NO4,167.021858,167.12,OC(=O)C1=CC=CC(=C1)[N+]([O-])=O,0,321,0,Inactive,7,5,1,4,0
DTXSID0025527,71-58-9,Medroxyprogesterone acetate,C24H34O4,386.24571,386.532,[H][C@@]12CC[C@](OC(C)=O)(C(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@H](C)C2=CC(=O)CC[C@]12C,70,455,15,Active,24,34,0,4,0
DTXSID0025812,500-66-3,Olivetol,C11H16O2,180.11503,180.247,CCCCCC1=CC(O)=CC(O)=C1,66,319,21,Inactive,11,16,0,2,0
DTXSID0025789,102-96-5,beta-Nitrostyrene,C8H7NO2,149.047678,149.149,[O-][N+](=O)C=CC1=CC=CC=C1,224,432,52,Active,8,7,1,2,0
DTXSID0025571,608-25-3,"2-Methyl-1,3-benzenediol",C7H8O2,124.052429,124.139,CC1=C(O)C=CC=C1O,8,430,2,Inactive,7,8,0,2,0
DTXSID0025816,144-62-7,Oxalic acid,C2H2O4,89.995309,90.034,OC(=O)C(O)=O,5,349,1,Inactive,2,2,0,4,0
DTXSID0025864,156-43-4,4-Ethoxyaniline,C8H11NO,137.084064,137.182,CCOC1=CC=C(N)C=C1,18,358,5,Inactive,8,11,1,1,0
DTXSID0026171,29385-43-1,Tolyltriazole,C7H7N3,133.063997,133.154,"C*.N1N=NC2=CC=CC=C12 |c:2,6,t:4,8,lp:2:1,3:1,4:1,m:1:6.7|",12,355,3,Inactive,7,7,3,0,0
DTXSID0025991,104-91-6,4-Nitrosophenol,C6H5NO2,123.032028,123.111,OC1=CC=C(C=C1)N=O,28,430,7,Inactive,6,5,1,2,0
DTXSID0026838,110-27-0,Isopropyl tetradecanoate,C17H34O2,270.25588,270.457,CCCCCCCCCCCCCC(=O)OC(C)C,1,359,0,Inactive,17,34,0,2,0
DTXSID0026880,111-55-7,"1,2-Ethanediol diacetate",C6H10O4,146.057909,146.142,CC(=O)OCCOC(C)=O,4,355,1,Inactive,6,10,0,4,0
DTXSID0026915,112-42-5,1-Undecanol,C11H24O,172.182715,172.312,CCCCCCCCCCCO,57,593,10,Inactive,11,24,0,1,0
DTXSID0027014,123-96-6,2-Octanol,C8H18O,130.135765,130.231,CCCCCCC(C)O,5,362,1,Inactive,8,18,0,1,0
DTXSID0026913,112-40-3,Dodecane,C12H26,170.203451,170.34,CCCCCCCCCCCC,3,324,1,Inactive,12,26,0,0,0
DTXSID0027191,542-92-7,"1,3-Cyclopentadiene",C5H6,66.04695,66.103,C1C=CC=C1,0,349,0,Inactive,5,6,0,0,0
DTXSID0027195,544-76-3,Hexadecane,C16H34,226.266051,226.448,CCCCCCCCCCCCCCCC,2,569,0,Inactive,16,34,0,0,0
DTXSID0026967,120-55-8,Diethylene glycol dibenzoate,C18H18O5,314.115424,314.337,O=C(OCCOCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,21,601,3,Inactive,18,18,0,5,0
DTXSID0027222,586-62-9,Terpinolene,C10H16,136.125201,136.238,CC(C)=C1CCC(C)=CC1,7,352,2,Inactive,10,16,0,0,0
DTXSID0027270,629-76-5,1-Pentadecanol,C15H32O,228.245316,228.42,CCCCCCCCCCCCCCCO,57,585,10,Inactive,15,32,0,1,0
DTXSID0027432,1738-25-6,3-Dimethylaminopropionitrile,C5H10N2,98.084398,98.149,CN(C)CCC#N,1,322,0,Inactive,5,10,2,0,0
DTXSID0027301,694-83-7,"1,2-Cyclohexanediamine",C6H14N2,114.115698,114.192,NC1CCCCC1N,2,318,1,Inactive,6,14,2,0,0
DTXSID0027561,4131-74-2,"Dimethyl 3,3'-thiodipropionate",C8H14O4S,206.06128,206.26,COC(=O)CCSCCC(=O)OC,1,316,0,Inactive,8,14,0,4,1
DTXSID0027640,6915-15-7,Malic acid,C4H6O5,134.021523,134.087,OC(CC(O)=O)C(O)=O,6,615,1,Inactive,4,6,0,5,0
DTXSID0027721,10081-67-1,4-(2-Phenylpropan-2-yl)-N-[4-(2-phenylpropan-2-yl)phenyl]aniline,C30H31N,405.24565,405.585,CC(C)(C1=CC=CC=C1)C1=CC=C(NC2=CC=C(C=C2)C(C)(C)C2=CC=CC=C2)C=C1,43,362,12,Inactive,30,31,1,0,0
DTXSID0027771,15233-47-3,"N-(1-Methylheptyl)-N'-phenyl-1,4-benzenediamine",C20H28N2,296.225249,296.458,CCCCCCC(C)NC1=CC=C(NC2=CC=CC=C2)C=C1,92,319,29,Inactive,20,28,2,0,0
DTXSID0027773,15625-89-5,Trimethylolpropane triacrylate,C15H20O6,296.125988,296.319,CCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,250,433,58,Inactive,15,20,0,6,0
DTXSID0027981,33509-43-2,"4-Amino-6-tert-butyl-3-thioxo-3,4-dihydro-1,2,4-triazin-5(2H)-one",C7H12N4OS,200.073182,200.26,CC(C)(C)C1=NNC(=S)N(N)C1=O,3,316,1,Inactive,7,12,4,1,1
DTXSID0027983,34590-94-8,Dipropylene glycol monomethyl ether,C7H16O3,148.109944,148.202,"C*.C*.COCCOCCO |lp:5:2,8:2,11:2,m:1:6.7,3:9.10|",12,621,2,Inactive,7,16,0,3,0
DTXSID0027856,25265-71-8,Dipropylene glycol,C6H14O3,134.094294,134.175,"C*.C*.OCCOCCO |lp:4:2,7:2,10:2,m:1:5.6,3:8.9|",3,575,1,Inactive,6,14,0,3,0
DTXSID0029133,99-93-4,4-Hydroxyacetophenone,C8H8O2,136.052429,136.15,CC(=O)C1=CC=C(O)C=C1,2,345,1,Inactive,8,8,0,2,0
DTXSID0029262,4130-42-1,"2,6-Di-tert-butyl-4-ethylphenol",C16H26O,234.198365,234.383,CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,47,364,13,Inactive,16,26,0,1,0
DTXSID0029559,78491-02-8,Diazolidinyl urea,C8H14N4O7,278.086249,278.221,OCNC(=O)N(CO)C1N(CO)C(=O)N(CO)C1=O,3,349,1,Inactive,8,14,4,7,0
DTXSID0030162,24295-03-2,2-Acetylthiazole,C5H5NOS,127.009185,127.16,CC(=O)C1=NC=CS1,4,316,1,Inactive,5,5,1,1,1
DTXSID0032314,51200-87-4,"4,4-Dimethyl oxazolidine",C5H11NO,101.084064,101.149,CC1(C)COCN1,3,197,2,Inactive,5,11,1,1,0
DTXSID0032520,131860-33-8,Azoxystrobin,C22H17N3O5,403.116821,403.394,CO\C=C(\C(=O)OC)C1=CC=CC=C1OC1=CC(OC2=CC=CC=C2C#N)=NC=N1,253,836,30,Inactive,22,17,3,5,0
DTXSID0032572,23031-36-9,Prallethrin,C19H24O3,300.172545,300.398,CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C,210,782,27,Active,19,24,0,3,0
DTXSID0032578,59669-26-0,Thiodicarb,C10H18N4O4S3,354.049019,354.46,CSC(C)=NOC(=O)N(C)SN(C)C(=O)ON=C(C)SC,170,672,25,Inactive,10,18,4,4,3
DTXSID0032651,51707-55-2,Thidiazuron,C9H8N4OS,220.041882,220.25,O=C(NC1=CN=NS1)NC1=CC=CC=C1,149,690,22,Inactive,9,8,4,1,1
DTXSID0034192,10161-33-8,17beta-Trenbolone,C18H22O2,270.16198,270.372,[H][C@@]12CC[C@H](O)[C@@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@]21[H],180,705,26,Active,18,22,0,2,0
DTXSID0034229,104-61-0,gamma-Nonanolactone,C9H16O2,156.11503,156.225,CCCCCC1CCC(=O)O1,0,350,0,Inactive,9,16,0,2,0
DTXSID0034227,119515-38-7,Icaridin,C12H23NO3,229.167794,229.32,CCC(C)OC(=O)N1CCCCC1CCO,11,663,2,Inactive,12,23,1,3,0
DTXSID0034518,13684-56-5,Desmedipham,C16H16N2O4,300.111007,300.314,CCOC(=O)NC1=CC(OC(=O)NC2=CC=CC=C2)=CC=C1,31,369,8,Inactive,16,16,2,4,0
DTXSID0034936,74222-97-2,Sulfometuron-methyl,C15H16N4O5S,364.084141,364.38,COC(=O)C1=CC=CC=C1S(=O)(=O)NC(=O)NC1=NC(C)=CC(C)=N1,2,321,1,Inactive,15,16,4,5,1
DTXSID0035160,127-41-3,alpha-Ionone,C13H20O,192.151415,192.302,CC(=O)\C=C\C1C(C)=CCCC1(C)C,7,352,2,Inactive,13,20,0,1,0
DTXSID0034722,210631-68-8,Topramezone,C16H17N3O5S,363.088892,363.39,CN1N=CC(C(=O)C2=C(C)C(C3=NOCC3)=C(C=C2)S(C)(=O)=O)=C1O,1,418,0,Inactive,16,17,3,5,1
DTXSID0037570,18691-97-9,Methabenzthiazuron,C10H11N3OS,221.062283,221.28,CNC(=O)N(C)C1=NC2=C(S1)C=CC=C2,21,316,7,Inactive,10,11,3,1,1
DTXSID0038839,17420-30-3,2-Amino-5-nitrobenzonitrile,C7H5N3O2,163.038176,163.136,NC1=C(C=C(C=C1)[N+]([O-])=O)C#N,10,303,3,Inactive,7,5,3,2,0
DTXSID0037730,31519-22-9,"1,4-Dihydroxy-2-naphthoic acid",C11H8O4,204.042259,204.181,OC(=O)C1=C(O)C2=CC=CC=C2C(O)=C1,148,381,39,Inactive,11,8,0,4,0
DTXSID0038700,97-52-9,2-Methoxy-4-nitroaniline,C7H8N2O3,168.053492,168.152,COC1=CC(=CC=C1N)[N+]([O-])=O,32,369,9,Inactive,7,8,2,3,0
DTXSID0039223,116-06-3,Aldicarb,C7H14N2O2S,190.077599,190.26,CNC(=O)ON=CC(C)(C)SC,23,722,3,Inactive,7,14,2,2,1
DTXSID0040127,141-86-6,"2,6-Diaminopyridine",C5H7N3,109.063997,109.132,NC1=CC=CC(N)=N1,15,448,3,Inactive,5,7,3,0,0
DTXSID0040701,77-93-0,Triethyl citrate,C12H20O7,276.120903,276.285,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,4,575,1,Inactive,12,20,0,7,0
DTXSID0040707,33228-44-3,4-Pentylaniline,C11H17N,163.1361,163.264,CCCCCC1=CC=C(N)C=C1,49,601,8,Active,11,17,1,0,0
DTXSID0040703,98-73-7,4-tert-Butylbenzoic acid,C11H14O2,178.09938,178.231,CC(C)(C)C1=CC=C(C=C1)C(O)=O,2,321,1,Inactive,11,14,0,2,0
DTXSID0040751,35661-60-0,N-(9-Fluorenylmethoxycarbonyl)-L-leucine,C21H23NO4,353.162708,353.418,CC(C)C[C@H](NC(=O)OCC1C2=CC=CC=C2C2=C1C=CC=C2)C(O)=O,24,321,7,Inactive,21,23,1,4,0
DTXSID0041220,1469-48-3,"cis-1,2,3,6-Tetrahydrophthalimide",C8H9NO2,151.063329,151.165,O=C1NC(=O)[C@@H]2CC=CC[C@H]12,15,319,5,Inactive,8,9,1,2,0
DTXSID0041357,3025-30-7,"Ethyl (2E,4Z)-deca-2,4-dienoate",C12H20O2,196.14633,196.29,CCCCC\C=C/C=C/C(=O)OCC,114,357,32,Active,12,20,0,2,0
DTXSID0041224,106-69-4,"1,2,6-Hexanetriol",C6H14O3,134.094294,134.175,OCCCCC(O)CO,5,338,1,Inactive,6,14,0,3,0
DTXSID0041197,373-49-9,(Z)-Hexadec-9-enoic acid,C16H30O2,254.22458,254.414,CCCCCC\C=C/CCCCCCCC(O)=O,16,319,5,Inactive,16,30,0,2,0
DTXSID0041274,941-69-5,"1-Phenyl-1H-pyrrole-2,5-dione",C10H7NO2,173.047678,173.171,O=C1C=CC(=O)N1C1=CC=CC=C1,151,369,41,Inactive,10,7,1,2,0
DTXSID0041270,58430-94-7,"3,5,5-Trimethylhexyl acetate",C11H22O2,186.16198,186.295,CC(CCOC(C)=O)CC(C)(C)C,6,477,1,Inactive,11,22,0,2,0
DTXSID0041436,75-85-4,2-Methyl-2-butanol,C5H12O,88.088815,88.15,CCC(C)(C)O,0,322,0,Inactive,5,12,0,1,0
DTXSID0041484,3681-71-8,(3Z)-3-Hexenyl acetate,C8H14O2,142.09938,142.198,CC\C=C/CCOC(C)=O,1,353,0,Inactive,8,14,0,2,0
DTXSID0041517,3658-77-3,"4-Hydroxy-2,5-dimethyl-3(2H)furanone",C6H8O3,128.047344,128.127,CC1OC(C)=C(O)C1=O,1,324,0,Inactive,6,8,0,3,0
DTXSID0041519,14979-39-6,4-Methyl-3-heptanol,C8H18O,130.135765,130.231,CCCC(C)C(O)CC,0,316,0,Inactive,8,18,0,1,0
